"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Sao Tome and Principe","STP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1540","1570","1700","1770","1920","2190","2280","2370","2380","2510","2620","2640","2840","3050","3080","3200","3300","3430","",
"Suriname","SUR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6730","7010","7080","6550","6860","6930","7000","7270","7450","7250","7400","7160","8130","8710","9550","10390","11220","12210","12900","13180","13510","13910","14710","15450","15800","15430","13810","12770","13420","",
"Slovak Republic","SVK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8690","9430","10080","10620","10640","11300","12370","13240","13430","14580","16160","18300","20540","23250","22900","24400","24900","26140","27640","28560","28950","30320","31730","33200","",
"Slovenia","SVN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13620","14310","15260","16020","17050","18010","18940","20130","20910","22460","23720","25440","26970","28850","27020","27370","28410","28450","29400","30560","30660","32310","35500","37850","",
"Sweden","SWE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19890","20050","19900","19720","21130","22430","23270","24160","25330","27140","29340","29700","30720","32050","33760","34470","38440","41850","43360","40640","42780","44720","45810","46770","47570","48930","49420","52190","53560","",
"Eswatini","SWZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3850","3970","4100","4110","4010","4460","4780","4910","4800","5040","5000","5360","5310","5480","5930","6810","7040","7550","7610","7580","7660","8320","8830","9630","9860","10000","10210","10330","10680","",
"Sint Maarten (Dutch part)","SXM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30680","32160","34980","35070","34570","34010","33380","33320","","","",
"Seychelles","SYC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8900","9390","10330","10980","11000","10630","11290","12820","13600","13710","13930","14240","13190","13300","14340","16040","17700","18390","17640","17880","18830","20990","21750","23050","23920","24940","25560","26880","29070","",
"Syrian Arab Republic","SYR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Turks and Caicos Islands","TCA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20900","22000","22880","23470","24540","",
"Chad","TCD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","710","780","840","680","760","760","760","790","830","810","780","860","890","860","1150","1350","1330","1410","1390","1620","1810","1800","1940","1970","2080","2130","1980","1900","1920","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1430.9793258516","1570.58635433264","1747.00716511126","1953.34376764432","2182.8586956793","2392.411806872","2620.8281344638","2815.21220104783","2828.69397687599","3000.60388899013","3281.7643014247","3551.18129678695","3863.99924343387","4239.24992518624","4701.26706841609","5236.11205807191","5942.09306454769","6794.18681609175","7464.80751292224","7972.88939676081","8777.65980022539","9601.69930075045","10474.040486118","11278.1518383757","12254.3888435715","13040.9562547434","13917.2988608839","14994.3541200129","16174.708382425","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6414.21435650464","6231.7040594676","5740.50909110682","5571.18223666652","5175.18327610905","5215.33974131781","5314.4556279624","5529.92460737334","5590.91149011492","5778.85860720439","6411.34643713852","6803.03019114791","7285.68618751172","7915.18493857586","8830.44184896441","9817.82734004717","11555.1874505504","12891.1735803887","14720.9114682437","14323.3518202381","15324.4520876163","17287.0100041401","18194.2974656469","18896.811554522","19404.1221693977","19352.4004927454","19677.6559648559","20995.0018574343","21978.5287206211","",
"Togo","TGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","830","830","800","680","750","820","900","1020","980","970","960","940","930","970","990","1010","1050","1080","1120","1160","1210","1360","1360","1440","1520","1620","1640","1680","1760","",
"Thailand","THA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4260","4720","5120","5660","6180","6740","7130","6940","6340","6710","7170","7450","7900","8510","9200","9810","10630","11480","11810","11780","12660","13210","14050","14340","14890","15450","16160","17120","18160","",
"Tajikistan","TJK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380","2230","1590","1340","910","900","720","780","810","840","900","990","1100","1200","1370","1480","1600","1760","1920","1960","2590","2860","3070","3420","3420","3410","3530","3700","4040","",
"Turkmenistan","TKM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4450","3770","3390","3620","3300","3450","3970","3980","4340","4390","4640","4940","5390","6140","7150","8040","8400","8920","10130","11290","12530","13780","15070","16450","17280","18460","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5735.65498139183","6079.02831917437","6303.87011508686","6837.47562911564","7160.16930889047","7322.03585959145","7578.71802687864","7983.31782675246","8100.52802231343","8069.84655663387","8494.5207407159","8601.01804802873","8611.9544139286","8819.58975865617","9420.02509658782","10026.7815441954","10988.8383375122","11817.6555320066","12439.5151998314","12230.4433207782","12961.6241611989","13821.6942558177","14350.0164449365","14860.9955559624","15183.8744140322","15211.8293061287","15212.7506077273","15677.0416001247","16068.4682381407","",
"Timor-Leste","TLS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3470","3690","4120","3390","2680","2710","4060","6010","7220","7100","7360","7970","6760","6800","5650","7390","7390","6750","6990","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5199.65840787984","5153.56227951767","5393.98994959246","5562.50257461218","5606.23806771901","5792.9480836245","6054.13899399282","6282.64311581963","6703.28595356197","6913.98457427705","7306.77378620682","7551.09226932462","7793.46192454759","7999.44449562469","8704.57493728292","9206.83957525935","9907.60165874605","10669.4390533089","11121.2871684082","11228.9141418176","11670.457040541","11586.8589275087","11913.516085107","12091.3115772853","12369.2013746869","12444.5437170113","13337.9487504189","13724.8610208375","","",
"Tonga","TON","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2380","2590","2640","2790","3100","3180","3250","3290","3460","3540","3650","3840","4110","4210","4300","4410","4550","4470","4650","4810","5050","5300","5500","5450","5610","5910","6130","6420","6510","",
"South Asia (IDA & IBRD)","TSA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1275.062337996","1309.16479089741","1383.51768173262","1447.48069777815","1534.73985917744","1643.63423085442","1751.27248183803","1811.73025275388","1895.92409614616","2033.70915417078","2118.03657716681","2219.20978738756","2306.24835252116","2481.14521168076","2692.93134362593","2940.7811336754","3210.40377751924","3490.73253172775","3614.21253220125","3842.24402030189","4110.53290050071","4358.14643370122","4614.67132019843","4910.74733373872","5284.3759926547","5665.65525173456","6091.03316178713","6549.97477811294","7068.28736864929","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1605.04238550033","1638.79554321014","1591.12754651339","1588.47700367182","1601.50218733824","1673.876622537","1751.29003693415","1811.06360215229","1824.02330040611","1845.94991965296","1870.81278835605","1950.7327340722","2058.66016066045","2123.23579000291","2262.79860855823","2420.06728803952","2627.92613757521","2773.7641519644","2895.73714183549","2953.5157046054","3065.1335894937","3192.05961089231","3309.77400592963","3402.43646810764","3614.32024535515","3689.87080149215","3692.22701109172","3757.54142057769","3827.60429888339","",
"Trinidad and Tobago","TTO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6530","6870","7700","7890","8190","8740","9350","10460","11540","12600","13470","14530","16000","18420","20970","22390","25920","27970","29370","27890","29130","27550","28950","30870","30790","33280","31150","31670","32060","",
"Tunisia","TUN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3520","3660","3930","3960","4120","4270","4560","4880","5120","5460","5760","6070","6200","6580","7110","7440","8030","8640","9050","9390","9750","9660","10190","10540","11050","11240","11410","11670","12060","",
"Turkey","TUR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6040","6190","6610","7200","6780","7350","7890","8490","9000","8640","9440","8990","9150","9430","10710","11760","13470","14710","15890","15310","17280","19480","20460","22070","23760","25340","25870","27520","27470","",
"Tuvalu","TUV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4730","5830","4050","4460","4400","4410","5150","5120","5250","4680","4740","4050","5020","4420","5680","5660","5580","6090","",
"Tanzania","TZA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","960","990","980","980","990","1030","1080","1100","1140","1180","1230","1280","1380","1450","1560","1670","1810","1910","2000","2070","2140","2290","2370","2500","2640","2740","2860","3020","3160","",
"Uganda","UGA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","490","520","520","570","600","670","720","750","780","830","830","860","930","970","1030","1090","1210","1310","1410","1470","1530","1650","1690","1720","1780","1830","1870","1900","1970","",
"Ukraine","UKR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6940","6550","5900","5060","4080","3650","3380","3370","3350","3390","3700","4230","4580","5170","5990","6410","7110","7910","8350","7120","7550","8090","8340","8500","8610","7880","8210","8460","9020","",
"Upper middle income","UMC","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3317.67265959296","3442.4539158528","3542.51062626846","3790.74306427369","3935.04857795973","4118.36582224063","4340.82369191769","4596.59104901899","4727.02626851743","4899.13071906572","5302.65181547431","5564.47355451221","5874.45048739591","6294.41459034317","6947.28610265389","7656.82076090421","8689.57644756761","9731.39823457754","10651.1317231164","10916.9531336836","11805.0709453546","12862.2927195598","13744.3307990048","14503.7320493228","15357.8003556726","15874.6249638995","16610.8659358672","17670.0117843208","18730.5481795744","",
"Uruguay","URY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6150","6630","7310","7630","8290","8300","8880","9790","10280","10240","10220","10020","9480","9290","10000","11240","12120","13240","14320","14950","16180","17380","17560","19020","19740","20350","20750","21380","21900","",
"United States","USA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23640","24100","25090","25910","27250","28450","29870","31500","33120","34720","36800","37700","38430","39740","42060","44570","47160","48280","48290","46940","48900","50810","53110","54340","56730","58300","58960","61120","63390","",
"Uzbekistan","UZB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780","1740","1660","1650","1670","1740","1820","1900","1970","2070","2170","2280","2510","2740","2980","3460","3850","4000","4280","4650","5070","5550","5860","6130","6420","6780","7230","",
"St. Vincent and the Grenadines","VCT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3450","3610","3980","4250","4240","4680","4870","5080","5350","5500","5730","6010","6480","7010","7430","7870","8840","9010","9820","9830","9630","9770","10230","10360","11130","12280","12240","12470","13210","",
"Venezuela, RB","VEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9340","10400","10830","10870","10570","11070","11030","11650","11600","10990","11470","11840","10620","9840","11690","13290","14960","16720","17550","16700","16340","16880","17860","18060","17900","","","","","",
"British Virgin Islands","VGB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","890","960","1070","1150","1270","1420","1550","1680","1770","1870","2180","2350","2510","2700","2970","3000","3260","3530","3760","3560","4180","4460","4750","5030","5350","5680","6100","6530","7030","",
"Vanuatu","VUT","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1700","1570","1560","1690","1650","1770","1760","1820","2050","2080","2140","2130","1950","2010","2080","2170","2420","2540","2840","2790","2790","2820","2750","2940","3000","2860","2970","3080","3160","",
"World","WLD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5425.36429143318","5617.6926431047","5781.19444782605","5972.20181019137","6206.62072819156","6459.11316325613","6744.72557079136","7044.62842300873","7223.2435055555","7472.0285902111","7940.99130071094","8222.19232646431","8502.7473390174","8861.77764358228","9464.05141603791","10070.9243121651","10935.8945713004","11673.8381893085","12179.1218245204","12143.7273539112","12804.9856267759","13526.5327349982","14123.2464411145","14700.5628748484","15328.6021122742","15783.7741363759","16303.151017471","17098.7209770237","17841.7247923491","",
"Samoa","WSM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1670","1660","","","","","","","","","","","3670","3880","4160","4400","4620","5040","5150","4980","5130","5460","5560","5500","5620","5830","6260","6460","6620","",
"Kosovo","XKX","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6590","7350","7540","7590","7870","8410","8810","9110","9390","9940","10350","11050","11580","",
"Yemen, Rep.","YEM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2210","2250","2390","2430","2520","2540","2490","2580","2780","2740","2930","3050","3110","3150","3230","3420","3660","3790","3850","4020","4210","3600","3760","3900","3800","3220","2820","2640","2570","",
"South Africa","ZAF","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6190","6250","6120","6210","6410","6600","6850","7030","7020","7180","7540","7750","8110","8390","8960","9610","10330","10870","11300","11160","11480","11870","12150","12480","12740","12860","12880","13060","13300","",
"Zambia","ZMB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1390","1350","1350","1480","1360","1400","1480","1520","1480","1560","1620","1700","1770","1890","1950","2080","2210","2350","2600","2930","3050","3250","3590","3610","3820","3860","3910","3910","4100","",
"Zimbabwe","ZWE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1770","1880","1700","1740","1900","1910","2140","2190","2230","2250","2220","2300","2140","1810","1730","1680","1640","1590","1280","1370","1660","1860","2210","2330","2400","2410","2460","2580","3010","",
