"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","1120","1230","1330","1570","1780","1960","2170","2420","2660","3020","3150","3270","3440","3820","4090","4470","5320","5690","5600","5570","5860","5940","6070","6050","6180","6470","6790","7330","",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4800","5040","5500","5890","6210","6410","6480","6790","7110","7210","7430","7720","7960","8330","8830","9370","10300","11320","12000","11660","12230","12850","13590","13910","14430","14920","15570","16110","16670","",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5460.509978794","5666.01457415953","6007.52086541056","6422.27209078709","6603.08647720222","7073.79395321216","7532.11301328373","7610.11322217583","7890.74024507542","8252.14882360502","8641.21908491844","8928.29845070849","9398.85634923023","10131.0916199339","10917.3020807058","11538.7995719536","12739.3141731679","13498.2726394973","13947.1436526519","13392.8590875712","13724.438610606","13665.952889186","14254.7229344053","14778.059730769","14925.6700596904","15494.1483461495","15054.814799205","15337.4404098871","15749.9133710517","",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25980","26580","27430","27610","27100","27460","27790","27780","27630","27700","27960","27500","27820","","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43100","41520","39770","45700","50510","","","",
"Cyprus","CYP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13530","13740","14910","15030","15870","16210","16460","16800","19320","18530","19460","21240","22340","23260","24460","26320","28320","30750","34110","32240","32220","33140","30880","29330","29360","31980","33000","35170","","",
"Czech Republic","CZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11720","12080","12690","13650","14390","14540","14710","15060","15890","17080","17560","18780","19840","20970","22340","24460","26040","25650","25620","26620","27250","28670","30090","31420","32950","35680","37580","",
"Germany","DEU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19740","21140","21860","21940","22790","23530","24090","24570","25220","26140","27120","28240","28980","29720","31640","32250","34830","36990","38400","37870","39960","43770","44590","46250","48110","49010","50910","53680","54890","",
"Djibouti","DJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4210","4360","4560","4780","4790","5000","5170","5450","5810","5760","5770","6190","6030","6540","6800","7130","8010","8670","9530","9610","9870","10030","9930","10140","10740","10470","10990","10140","10680","",
"Denmark","DNK","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17590","18370","19180","19700","21180","22250","23250","24470","25450","26370","28010","29020","30260","30510","32950","34430","37750","39160","41740","40740","43700","45340","45820","48210","49640","50560","51990","55560","56410","",
